species_id,label,n,old_auc,new_auc,auc_delta,old_median_score,new_median_score,median_score_delta,old_hit_ge_4,new_hit_ge_4
mushroom,Porcini / Boletus,213,0.5908374346890142,0.5983241209484861,0.007486686259471901,6.19,6.434888876017422,0.2586320511565985,0.9154929577464789,0.9577464788732394
black_chant,Black Chanterelle,2,0.7260855506520503,0.8262466734272198,0.10016112277516953,3.99,4.304413972903373,0.31441397290337325,0.5,1.0
parasol,Parasol Mushroom,66,0.6506204960096117,0.6587120008296292,0.008091504820017487,5.49,5.718978127881996,0.2772754429897888,0.9242424242424242,0.9696969696969697
morel,Morel,27,0.5920453322789963,0.7395948138911188,0.14754948161212247,4.77,4.9736362108501195,0.3079681744369873,0.8148148148148148,0.8888888888888888
st_george,St. George's Mushroom,71,0.4487531291651829,0.4389592402856949,-0.009793888879488042,5.13,5.19122405184258,0.16033323426211687,0.9154929577464789,0.9436619718309859
chant,Chanterelle / Cantharellus,461,0.6226488261670332,0.6262254592372811,0.0035766330702478645,6.18,6.654837459782886,0.39075248383790395,0.9479392624728851,0.9934924078091106
