date,region,lat,lon,species_id,gbif_key,basis_of_record,coordinate_uncertainty_m,cell,distance_km,location_id,score,effort_percentile
2026-06-20,NE,52.3,6.1,mushroom,6411980428,HUMAN_OBSERVATION,5000.0,290:20,2.2239016046719784,Olst_52.320_6.100,6.47,0.7063400822918505
2026-06-12,NE,57.14384,-3.836755,mushroom,6412036372,HUMAN_OBSERVATION,5.0,317:-13,3.456424592544049,Aviemore_57.120_-3.800,3.09,0.036988936067271105
2026-06-21,NE,52.9,7.1,mushroom,6412094524,HUMAN_OBSERVATION,5000.0,293:23,2.7850038190498028,Jipsingboermussel_52.920_7.075,5.84,0.46146767554080903
2026-06-16,NE,52.85,6.3,mushroom,6412109678,HUMAN_OBSERVATION,5000.0,293:21,2.013475026429883,Dwingeloo_52.860_6.325,5.9,0.554282797941867
2026-06-21,NE,51.35,5.2,mushroom,6412143389,HUMAN_OBSERVATION,,284:17,1.111950802335259,Bladel_51.360_5.200,5.8,0.459012604383895
2026-06-07,NE,51.6,4.7,mushroom,6412376338,HUMAN_OBSERVATION,5000.0,286:15,1.726714423210515,Breda_51.600_4.675,6.85,0.7159763313609446
2026-06-19,NE,52.9,6.3,mushroom,6412402733,HUMAN_OBSERVATION,5000.0,293:21,2.785003819050083,Elsloo_52.920_6.325,6.58,0.8165030159412077
2026-06-19,NE,52.2,5.25,mushroom,6412661053,HUMAN_OBSERVATION,5000.0,289:17,1.7038062167274457,Baarn_52.200_5.275,6.46,0.7857028142540741
2026-06-21,NE,51.350486,6.600411,mushroom,6413138600,HUMAN_OBSERVATION,,284:22,29.55952201290393,Venlo_51.360_6.175,6.65,0.8545063021919476
2026-06-20,NE,50.733022,4.463387,mushroom,6413358948,HUMAN_OBSERVATION,,281:14,3.144215674406496,Hoeilaart_50.760_4.450,6.23,0.5513403561975725
2026-06-26,NE,57.6513,14.89055,mushroom,6418324321,HUMAN_OBSERVATION,25.0,319:49,1.3385116379750548,Nässjö_57.660_14.875,6.07,0.48428892673710006
2026-06-30,NE,58.23756,11.46787,mushroom,6418366375,HUMAN_OBSERVATION,10.0,323:38,6.747003705115457,Bjallansas_58.260_11.575,7.4,0.9728358881875564
2026-06-28,NE,59.56437,17.69983,mushroom,6418412381,HUMAN_OBSERVATION,50.0,330:59,2.2427065982539536,Marsta_59.580_17.725,6.58,0.8085226212951798
2026-06-28,NE,59.28359,17.99988,mushroom,6418414434,HUMAN_OBSERVATION,75.0,329:60,1.4816118897689956,Stockholm_59.280_18.025,6.78,0.8756840979914928
2026-06-25,NE,59.84109,17.61743,mushroom,6418438354,HUMAN_OBSERVATION,10.0,332:58,2.968535813491339,Uppsala_59.820_17.650,6.55,0.6614906553590061
2026-06-27,NE,59.36204,17.73962,mushroom,6418498433,HUMAN_OBSERVATION,4.0,329:59,2.5870675037618747,Tumba_59.340_17.725,6.85,0.8812863020329144
2026-06-26,NE,56.58271,16.41568,mushroom,6418533436,HUMAN_OBSERVATION,25.0,314:54,2.1232815157964273,Kalmar_56.580_16.450,6.86,0.8286751204194056
2026-06-26,NE,58.26314,15.76411,mushroom,6418664306,HUMAN_OBSERVATION,25.0,323:52,0.7264065103141064,Linkoping_58.260_15.775,6.16,0.5087520291667778
2026-06-25,NE,59.17133,18.35147,mushroom,6418898386,HUMAN_OBSERVATION,100.0,328:61,1.9654911162229187,Vasterhaninge_59.160_18.325,7.24,0.9193990942633941
2026-06-18,NE,58.07545,16.34037,mushroom,6418913302,HUMAN_OBSERVATION,500.0,322:54,2.09803723250149,Ukna_58.080_16.375,6.14,0.6591009662697231
2026-06-27,NE,58.27877,16.18241,mushroom,6418989308,HUMAN_OBSERVATION,166.0,323:54,2.8193030262533574,Drangsbo_58.260_16.150,6.44,0.7420223955618463
2026-06-28,NE,56.8733,16.64497,mushroom,6419113360,HUMAN_OBSERVATION,10.0,315:55,1.9709089086355953,Kolstad_56.880_16.675,6.76,0.8608875645429109
2026-06-26,NE,57.91747,16.52649,mushroom,6419124353,HUMAN_OBSERVATION,50.0,321:55,4.729944471735209,Hjulbynas_57.960_16.525,6.77,0.7656212576842218
2026-06-25,NE,57.78163,16.25559,mushroom,6419275412,HUMAN_OBSERVATION,25.0,320:54,1.8225543592535491,Bjarka_57.780_16.225,6.49,0.6245485735630615
2026-06-27,NE,58.47478,12.40676,mushroom,6419291319,HUMAN_OBSERVATION,50.0,324:41,2.831728552349423,Vanersborg_58.500_12.400,7.39,0.9643355797155411
2026-06-24,NE,59.21453,17.81533,mushroom,6419326421,HUMAN_OBSERVATION,25.0,328:59,1.0634988688258857,Tumba_59.220_17.800,6.68,0.838442983591785
2026-06-28,NE,62.253703,7.437745,mushroom,6419695541,HUMAN_OBSERVATION,25.0,345:24,2.9920681863639644,Tafjord_62.280_7.450,4.3,0.1304324090712643
2026-06-27,NE,65.962997,12.555708,mushroom,6419789385,HUMAN_OBSERVATION,25.0,366:41,2.5702005963502286,Sandnessjøen_65.940_12.550,4.24,0.16424389381190008
2026-06-27,NE,59.249813,10.422604,mushroom,6419819377,HUMAN_OBSERVATION,8.0,328:34,3.7001241706993864,Barkåker_59.280_10.450,6.95,0.8982700685084523
2026-06-27,NE,50.821124,-1.517184,mushroom,6422496629,HUMAN_OBSERVATION,,282:-6,2.308631503639463,Hordle_50.820_-1.550,5.44,0.5552009643309281
2026-06-30,NE,52.85,6.25,mushroom,6423605677,HUMAN_OBSERVATION,5000.0,293:20,1.1119508023357043,Boijl_52.860_6.250,6.19,0.7325969341749327
2026-06-24,NE,54.824925,9.346389,mushroom,6424218424,HUMAN_OBSERVATION,,304:31,2.164803976915179,Padborg_54.840_9.325,6.46,0.7428293004475334
2026-06-27,NE,56.79879,16.57119,mushroom,6426663384,HUMAN_OBSERVATION,10.0,315:55,2.939000494421428,Greby_56.820_16.600,6.54,0.7938221386551507
2026-06-24,NE,59.85043,17.6359,mushroom,6427207371,HUMAN_OBSERVATION,5.0,332:58,3.380939338195477,Uppsala_59.880_17.650,4.87,0.18971107156494912
2026-06-28,NE,59.82773,15.68153,mushroom,6427636315,HUMAN_OBSERVATION,5.0,332:52,1.3433357106301556,Nedre Aspbo_59.820_15.700,6.48,0.7652180242476625
2026-06-23,NE,51.022342,-0.927195,mushroom,6431558316,HUMAN_OBSERVATION,5.0,283:-4,2.9525082362449924,Waterlooville_51.000_-0.950,6.19,0.5732102349463309
2026-06-24,NE,60.727619,8.930592,mushroom,6434948314,HUMAN_OBSERVATION,5.0,337:29,1.3533238484671621,Gol_60.720_8.950,4.52,0.10031985929869086
2026-06-26,NE,58.60547,14.0401,mushroom,6435897427,HUMAN_OBSERVATION,5.0,325:46,1.7143758799901758,Mariestad_58.620_14.050,6.53,0.6650045240439633
2026-06-20,NE,50.889097,-1.536232,mushroom,6441747458,HUMAN_OBSERVATION,99.0,282:-6,1.3985956515417814,Totton_50.880_-1.550,6.16,0.5145635733422484
2026-06-13,NE,55.470713,12.081362,mushroom,6467790363,HUMAN_OBSERVATION,15.0,307:40,3.4618204228781684,Havdrup_55.500_12.100,6.62,0.9721900747931524
2026-06-20,NE,55.812327,12.49236,mushroom,6467794304,HUMAN_OBSERVATION,50.0,309:41,1.7480588435436675,Stavnsholt_55.800_12.475,6.82,0.9131044769508101
2026-06-05,NE,55.868583,11.659042,mushroom,6467798432,HUMAN_OBSERVATION,3.0,310:38,1.1086823702838797,Asnæs_55.860_11.650,5.38,0.10303783490810269
2026-06-18,NE,56.15729,10.08713,mushroom,6467800412,HUMAN_OBSERVATION,54.0,311:33,0.809329168571624,Framlev_56.160_10.075,5.96,0.5436329107967264
2026-06-06,NE,55.84407,12.345845,mushroom,6467800439,HUMAN_OBSERVATION,2.0,309:41,2.197833389849867,Lillerød_55.860_12.325,6.78,0.4706145967552641
2026-06-27,NE,56.162516,9.519553,mushroom,6467802302,HUMAN_OBSERVATION,3.0,311:31,1.9059172619501745,Silkeborg_56.160_9.550,6.2,0.6910710961352332
2026-06-19,NE,55.758792,12.371056,mushroom,6467828365,HUMAN_OBSERVATION,25.0,309:41,2.7653970205540763,Værløse_55.740_12.400,6.55,0.8133795215703605
2026-06-23,NE,55.856841,11.979339,mushroom,6467831382,HUMAN_OBSERVATION,25.0,310:40,1.8643521286710827,Jægerspris_55.860_11.950,7.2,0.9655255279886384
2026-06-24,NE,55.781303,12.591652,mushroom,6467832381,HUMAN_OBSERVATION,15.0,309:42,3.332065691421956,Trørød_55.800_12.550,6.85,0.8947489160162447
2026-06-29,NE,55.808105,12.52388,mushroom,6467848440,HUMAN_OBSERVATION,3.0,309:41,1.8646193436191683,Trørød_55.800_12.550,6.38,0.7716454495137187
2026-06-29,NE,69.164905,29.217706,mushroom,6467857348,HUMAN_OBSERVATION,10.0,383:97,1.8186162028484927,Mayatalo_69.180_29.200,3.84,0.04198624179647352
2026-06-04,NE,55.671377,9.379084,mushroom,6467862364,HUMAN_OBSERVATION,25.0,308:31,1.6245732064699416,Jelling_55.680_9.400,7.63,0.7823675143738017
2026-06-24,NE,56.16555,9.555711,mushroom,6467868356,HUMAN_OBSERVATION,15.0,311:31,0.7112614199661255,Silkeborg_56.160_9.550,5.83,0.4132655703334748
2026-07-01,NE,58.49869,13.15337,mushroom,6418879334,HUMAN_OBSERVATION,67.0,324:43,0.24403972189927187,Lidkoping_58.500_13.150,6.86,0.9270728096150496
2026-07-01,NE,56.95914,14.58371,mushroom,6419124398,HUMAN_OBSERVATION,10.0,316:48,2.192840052511899,Vaxjo_56.940_14.575,4.22,0.16109998258143152
2026-07-02,NE,57.676594,12.048431,mushroom,6423855541,HUMAN_OBSERVATION,254.0,320:40,2.3122053121607298,Molnlycke_57.660_12.025,7.4,0.9773328205683497
2026-07-05,NE,58.51262,16.36895,mushroom,6426902331,HUMAN_OBSERVATION,100.0,324:54,1.4466196371580093,Norrkoping_58.500_16.375,6.42,0.7448786144895866
2026-07-04,NE,59.55522,18.16947,mushroom,6427128335,HUMAN_OBSERVATION,5.0,330:60,2.7729617461554565,Vallentuna_59.580_18.175,6.51,0.7147133315291165
2026-07-06,NE,57.88839,16.14664,mushroom,6427350337,HUMAN_OBSERVATION,1000.0,321:53,1.3061571514306929,Odensvi_57.900_16.150,6.51,0.8077704338779976
2026-07-06,NE,58.74581,16.54814,mushroom,6427686331,HUMAN_OBSERVATION,100.0,326:55,1.4831975428717958,Alberga_58.740_16.525,6.76,0.852507936792639
2026-07-03,NE,59.694475,8.029205,mushroom,6427861368,HUMAN_OBSERVATION,100.0,331:26,1.3185811958774059,Åmot_59.700_8.050,5.97,0.6226593104831686
2026-07-08,NE,65.963136,12.552429,mushroom,6427893512,HUMAN_OBSERVATION,25.0,366:41,2.5749627854455914,Sandnessjøen_65.940_12.550,3.79,0.11919884042693418
2026-07-06,NE,59.61748,9.962676,mushroom,6427999400,HUMAN_OBSERVATION,3.0,330:33,3.2670677993995287,Sande_59.640_10.000,3.85,0.15658126020124508
2026-07-06,NE,69.571715,19.155963,mushroom,6428052523,HUMAN_OBSERVATION,10.0,386:63,3.153644733305584,Tromsø_69.600_19.150,4.49,0.2374894624504515
2026-07-06,NE,62.262862,25.808122,mushroom,6431649566,HUMAN_OBSERVATION,7.0,345:86,2.096201275652426,Jyvaskyla_62.280_25.825,5.08,0.4639279500654676
2026-07-10,NE,58.26293,15.76409,mushroom,6435258337,HUMAN_OBSERVATION,25.0,323:52,0.71651919674578,Linkoping_58.260_15.775,6.41,0.6054235942817114
2026-07-13,NE,66.04243,22.02908,mushroom,6435276408,HUMAN_OBSERVATION,125.0,366:73,2.353668777328785,Forstraskhed_66.060_22.000,5.51,0.5504540752389994
2026-07-13,NE,65.46483,17.85799,mushroom,6435430352,HUMAN_OBSERVATION,75.0,363:59,0.9515478542113258,Aha_65.460_17.875,5.76,0.6492260054717017
2026-07-16,NE,57.49648,18.48674,mushroom,6435479419,HUMAN_OBSERVATION,24.0,319:61,1.9622249228369106,Visby_57.480_18.475,8.56,0.9877467187070269
2026-07-09,NE,61.99369,17.29274,mushroom,6435683351,HUMAN_OBSERVATION,10.0,344:57,1.7820331843718127,Djursta_61.980_17.275,4.29,0.16194523687041154
2026-07-08,NE,57.80916,16.15211,mushroom,6435885320,HUMAN_OBSERVATION,125.0,320:53,3.244858748811638,Gronhult_57.780_16.150,6.5,0.8456054816181322
2026-07-12,NE,60.320205,25.011853,mushroom,6441759798,HUMAN_OBSERVATION,,334:83,2.339616818699215,Vantaa_60.300_25.000,5.38,0.527499058390464
2026-07-08,NE,69.746371,19.177639,mushroom,6444797390,HUMAN_OBSERVATION,50.0,387:64,3.1195916114495956,Movik_69.720_19.150,4.67,0.32835683225721574
2026-07-23,NE,69.659911,18.929075,mushroom,6444876556,HUMAN_OBSERVATION,21.0,386:63,5.640069353122223,Tromsø_69.660_19.075,4.29,0.040477738326212986
2026-07-22,NE,63.361172,10.24004,mushroom,6444878508,HUMAN_OBSERVATION,5.0,351:34,0.7610894875189861,Melhus_63.360_10.225,6.12,0.7545613190037301
2026-07-12,NE,58.536171,8.903912,mushroom,6444929523,HUMAN_OBSERVATION,25.0,324:29,3.136020830121295,Tvedestrand_58.560_8.875,3.25,0.08043502998592837
2026-07-24,NE,63.494502,10.069998,mushroom,6444946321,HUMAN_OBSERVATION,150.0,352:33,5.065229788644349,Selbekken_63.540_10.075,6.1,0.7192282462823547
2026-07-15,NE,52.9,6.25,mushroom,6447541870,HUMAN_OBSERVATION,5000.0,293:20,2.22390160467136,Elsloo_52.920_6.250,4.44,0.27385923399911927
2026-07-14,NE,52.25,5.1,mushroom,6447554927,HUMAN_OBSERVATION,5000.0,289:17,2.0327830478488242,Kortenhoef_52.260_5.125,4.51,0.25733421375342014
2026-07-14,NE,61.737737,16.061653,mushroom,6447592502,HUMAN_OBSERVATION,7.0,342:53,0.7464126239364711,Yckelsbo_61.740_16.075,6.09,0.6201930635474657
2026-07-19,NE,52.8,6.35,mushroom,6447663411,HUMAN_OBSERVATION,5000.0,293:21,1.6807111686969793,Ruinen_52.800_6.325,5.19,0.4803348388789188
2026-07-14,NE,51.5,4.45,mushroom,6447700959,HUMAN_OBSERVATION,,285:14,2.2239016046706923,Essen_51.480_4.450,2.92,0.07639216426123337
2026-07-15,NE,52.05,5.95,mushroom,6447827351,HUMAN_OBSERVATION,5000.0,288:19,3.335852407005443,Deelen_52.080_5.950,6.78,0.7841997819379689
2026-07-17,NE,52.9,6.3,mushroom,6447924957,HUMAN_OBSERVATION,5000.0,293:21,2.785003819050083,Elsloo_52.920_6.325,5.51,0.5306158680561739
2026-07-25,NE,52.9,6.3,mushroom,6448632393,HUMAN_OBSERVATION,5000.0,293:21,2.785003819050083,Elsloo_52.920_6.325,4.22,0.2777160024154471
2026-07-17,NE,52.75,6.25,mushroom,6448683503,HUMAN_OBSERVATION,5000.0,292:20,1.1119508023358151,Havelte_52.740_6.250,6.1,0.6939655937649815
2026-07-12,NE,53.1,6.1,mushroom,6449403217,HUMAN_OBSERVATION,5000.0,294:20,0.0,Drachten_53.100_6.100,5.08,0.40118383547288783
2026-07-25,NE,52.5,6.45,mushroom,6449529504,HUMAN_OBSERVATION,,291:21,1.6922818900931473,Den Ham_52.500_6.475,1.43,0.13481768655982693
2026-07-14,NE,52.15,5.85,mushroom,6449726635,HUMAN_OBSERVATION,5000.0,289:19,2.0363145522886192,Hoenderloo_52.140_5.875,6.59,0.7310002201050235
2026-07-16,NE,62.605941,25.793816,mushroom,6451721790,HUMAN_OBSERVATION,,347:86,3.2966676736206404,Suolahti_62.580_25.825,6.1,0.6865377750990374
2026-07-02,NE,57.688645,11.949237,mushroom,6452243650,HUMAN_OBSERVATION,6.0,320:39,3.1855061492319674,Goteborg_57.660_11.950,7.1,0.9683291838160993
2026-07-07,NE,57.350634,-3.351123,mushroom,6452294670,HUMAN_OBSERVATION,9.0,318:-12,1.0436291961922106,Dufftown_57.360_-3.350,6.36,0.7787767791378002
2026-07-15,NE,61.177517,26.860988,mushroom,6452314108,HUMAN_OBSERVATION,4.0,339:89,2.6103262376840175,Kuisma_61.200_26.875,5.68,0.5711891340153586
2026-07-19,NE,54.878166,23.424883,mushroom,6452430385,HUMAN_OBSERVATION,,304:78,2.4278449129515303,Kulautuva_54.900_23.425,7.9,0.9486357021218755
2026-07-28,NE,69.76554,19.264901,mushroom,6454373438,HUMAN_OBSERVATION,750.0,387:64,2.0990747360011675,Movik_69.780_19.300,4.71,0.1839080459770113
2026-07-28,NE,63.3549,10.468733,mushroom,6454435349,HUMAN_OBSERVATION,25.0,351:34,1.092743723895766,Tanem_63.360_10.450,6.27,0.5747126436781609
2026-07-25,NE,63.528073,10.107385,mushroom,6454457368,HUMAN_OBSERVATION,75.0,352:33,2.0819384212858876,Selbekken_63.540_10.075,6.0,0.6865954449943116
2026-07-30,NE,63.095869,8.64076,mushroom,6454508441,HUMAN_OBSERVATION,25.0,350:28,2.7231949173113303,Fjaerlien_63.120_8.650,6.32,0.6491228070175438
