region,lat,lon,species_id,gbif_key,basis_of_record,coordinate_uncertainty_m,cell,distance_km,score,effort_percentile,Date,Location_Id,new_mushroom_score,new_black_chant_score,new_parasol_score,new_morel_score,new_st_george_score,new_chant_score,date,old_score,new_score,score_delta,old_percentile,new_percentile,percentile_delta
NE,58.952044,5.712737,mushroom,6363962586,HUMAN_OBSERVATION,10.0,327:19,4.753717682839317,5.02,0.4653365917462355,2026-06-09,Stavanger_58.980_5.650,5.186919689860273,4.307058341266362,4.705508301736086,4.562303010773684,5.745579673146017,6.048320975161601,2026-06-09,5.02,5.186919689860273,0.16691968986027383,0.4653365917462355,0.3421259977366871,-0.12321059400954837
NE,59.27176,11.135283,mushroom,6364035600,HUMAN_OBSERVATION,1.0,328:37,1.086634118535149,6.18,0.8292885150190824,2026-06-13,Ise_59.280_11.125,6.337748088463007,4.319827969483,5.157860263745019,4.675861539971908,5.617768802088335,6.45914721346182,2026-06-13,6.18,6.337748088463007,0.15774808846300736,0.8292885150190824,0.7841880710966742,-0.045100443922408195
NE,58.49666,16.56252,mushroom,6393979365,HUMAN_OBSERVATION,100.0,324:55,2.2091068218270986,4.24,0.1580218794216106,2026-06-11,Sodermem_58.500_16.600,5.9634992643500455,3.6707037285287663,5.460467770290629,3.5856988108349745,4.869172521186635,5.507030338290409,2026-06-11,4.24,5.9634992643500455,1.7234992643500453,0.1580218794216106,0.7056380138479744,0.5476161344263638
NE,62.29017,6.876163,mushroom,6395473482,HUMAN_OBSERVATION,25.0,345:22,1.7633507288524224,4.6,0.3182491796337471,2026-06-17,Stranda_62.280_6.850,4.688226843680134,4.230915626412488,4.422057061932028,5.06554606385728,5.673457122692736,5.133275926670086,2026-06-17,4.6,4.688226843680134,0.08822684368013434,0.3182491796337471,0.19771120755560317,-0.12053797207814393
NE,55.68501,13.18548,mushroom,6404283349,HUMAN_OBSERVATION,25.0,309:44,2.292922943973107,6.76,0.9783673846110252,2026-06-16,Lund_55.680_13.150,6.823238228616643,4.432816105282362,5.573291492207157,4.503849768284017,5.930820689827945,7.00830382160546,2026-06-16,6.76,6.823238228616643,0.06323822861664308,0.9783673846110252,0.9420931045977935,-0.03627428001323174
NE,58.16154,15.67639,mushroom,6404295415,HUMAN_OBSERVATION,100.0,322:52,2.766925665950134,6.03,0.493606967478924,2026-06-22,Opphem_58.140_15.700,6.4696152897867805,3.828428665755596,5.190546100115402,3.7620209098864628,4.383439024407613,6.160370786586459,2026-06-22,6.03,6.4696152897867805,0.4396152897867802,0.493606967478924,0.5958607430742177,0.10225377559529364
NE,57.78522,16.58764,mushroom,6404357311,HUMAN_OBSERVATION,25.0,320:55,3.758500319867214,6.54,0.7543344065598087,2026-06-22,Västervik_57.780_16.525,6.732798054486353,4.102364967713934,5.5858953214330676,3.771810311075156,4.6888630974059735,6.290208107653304,2026-06-22,6.54,6.732798054486353,0.192798054486353,0.7543344065598087,0.7560861206337456,0.0017517140739369275
NE,58.44446,11.42731,mushroom,6404481481,HUMAN_OBSERVATION,10.0,324:38,0.5138268825314817,6.25,0.8164101120825317,2026-06-15,Odstoft_58.440_11.425,6.592314864257794,4.378704593080035,5.230911429344567,4.270520139093279,5.68686508420522,6.447653841289967,2026-06-15,6.25,6.592314864257794,0.3423148642577942,0.8164101120825317,0.8235137844548686,0.007103672372336889
NE,57.93681,16.4652,mushroom,6404576397,HUMAN_OBSERVATION,500.0,321:54,2.7301563342235786,6.58,0.8104418646408115,2026-06-24,Trostad_57.960_16.450,6.898039410029764,4.043518558724565,5.672457460952446,3.5724974158447673,4.519610266372741,6.502810061330827,2026-06-24,6.58,6.898039410029764,0.31803941002976366,0.8104418646408115,0.8262252682554295,0.015783403614618052
NE,57.68039,11.91839,mushroom,6404589407,HUMAN_OBSERVATION,500.0,320:39,2.945144952725833,6.27,0.3994082840236682,2026-06-07,Goteborg_57.660_11.950,5.970717853787936,3.8982228191439914,5.067485198292747,4.331645650213008,5.848373473592138,6.02841086842029,2026-06-07,6.27,5.970717853787936,-0.2992821462120636,0.3994082840236682,0.8066560499725902,0.40724776594892204
